AllocateMemory 0xFFC01B1C 32
Close 0xFFC5C70C
close 0xFFEBBE5C
CreateTaskStrict 0xFFC123B8
DisableDispatch 0xFFC11074
EnableDispatch 0xFFC11100
ExitTask 0xFFC11610
Fclose_Fut 0xFFC55B6C
Fopen_Fut 0xFFC55B30
Fread_Fut 0xFFC55C50
FreeMemory 0xFFC01B28
Fseek_Fut 0xFFC55D38
Fwrite_Fut 0xFFC55CA0
GetSystemTime 0xFFC04B10
ints_disable 0xFFC0D5EC
ints_enable 0xFFC0D5F8
ioctl 0xFFEBBF9C
kbd_p1_f 0xFFC16184
kbd_p1_f_cont 0xFFC16190
kbd_p2_f 0xFFC16568
kbd_pwr_off 0xFFC1758C 7
kbd_pwr_on 0xFFC17564 10
kbd_read_keys_r2 0xFFC16FD8
lseek 0xFFEBBFA0
MakeDirectory 0xFFC5C9B0
memcmp 0xFFEB59D0
memcpy 0xFFEB5A0C
memset 0xFFEB5A84
mkdir 0xFFC5C8F4
Open 0xFFC5C6E4
open 0xFFEBC4A0
PhySw_testgpio 0xFFC17658
ProtectFile 0xFFC55198
Read 0xFFC5C7A0
read 0xFFEBBEBC
sprintf 0xFFEB9780
strcmp 0xFFEB5AF4
strcpy 0xFFEB5C88
strlen 0xFFEB5DEC
TakeSemaphore 0xFFC10C60
taskIdListGet 0xFFECCAE0
taskLock 0xFFECD19C
taskName 0xFFECC9D8
taskResume 0xFFECCDBC
taskSuspend 0xFFECCBE8
taskUnlock 0xFFECD244
Write 0xFFC5C7AC
write 0xFFEBBF2C
taskCreateHookAdd 0xFFEC251C
taskDeleteHookAdd 0xFFEC2458
SleepTask 0xFFC11164
CreateTask 0xFFC11250
CreatePhysicalVram 0xFFD11EE4
DisplayImagePhysicalScreen 0xFFD112AC
ExecuteEventProcedure 0xFFC067F0
GetPropertyCase 0xFFC141A8 26
SetPropertyCase 0xFFC1408C 29
RefreshPhysicalScreen 0xFFD5F6C0
IsStrobeChargeCompleted 0xFFCEBE00
VbattGet 0xFFC1B4CC
GetZoomLensCurrentPosition 0xFFE53070
GetZoomLensCurrentPoint 0xFFE5305C
GetFocusLensSubjectDistance 0xFFE667F0
malloc 0xFFEBEE9C
free 0xFFEBEEA8
strcat 0xFFEB5AA4
strchr 0xFFEB5AD0
opendir 0xFFEB7E30
closedir 0xFFEB7DFC
readdir 0xFFEB7DC8
rewinddir 0xFFEB7DF0
isalpha 0xFFEB1D70
isdigit 0xFFEB1DA0
isspace 0xFFEB1E18
isupper 0xFFEB1E30
islower 0xFFEB1DD0
strncmp 0xFFEB5E50
strtol 0xFFEB566C
rand 0xFFEB5254
srand 0xFFEB5278
stat 0xFFEB7EC4
qsort 0xFFEB5230
localtime 0xFFEB65F0
GetCurrentAvValue 0xFFE71314 14
_pow 0xFFEA8F74
_log 0xFFEA83DC
_log10 0xFFEA8A84
_sqrt 0xFFEAD2C0
strncpy 0xFFEB5E94
strrchr 0xFFEB5F18
SetParameterData 0xFFD4E21C
GetParameterData 0xFFD4E2FC
rename 0xFFEBC4A8
chdir 0xFFEBC51C
time 0xFFEB733C
utime 0xFFEB7F58
